Communication ID,Member #,Date,Type,Happometer Score,Subject,Complete,Resolution Date
fb_001,mbr_055,2026-02-22 00:00:00,staff_service,-0.95,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_002,mbr_058,2026-02-22 00:00:00,staff_service,-0.95,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_003,mbr_061,2026-01-31 00:00:00,staff_service,-0.37,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_004,mbr_064,2026-01-31 00:00:00,staff_service,-0.37,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_005,mbr_077,2026-02-25 00:00:00,staff_service,-0.91,Concerned about declining staff service. This affects my overall experience at the club.,open,
fb_006,mbr_080,2026-02-25 00:00:00,staff_service,-0.91,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_007,mbr_083,2026-02-25 00:00:00,staff_service,-0.91,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_008,mbr_086,2026-02-03 00:00:00,staff_service,-0.33,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_009,mbr_t04,2026-02-03 00:00:00,staff_service,-0.33,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_010,mbr_102,2026-02-28 00:00:00,staff_service,-0.86,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_011,mbr_105,2026-02-28 00:00:00,staff_service,-0.87,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_012,mbr_108,2026-02-06 00:00:00,staff_service,-0.87,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_013,mbr_111,2026-02-06 00:00:00,staff_service,-0.29,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_014,mbr_114,2026-02-06 00:00:00,staff_service,-0.29,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_015,mbr_144,2026-02-21 00:00:00,facilities,-0.97,facilities was below expectations during my recent visit. Please review.,open,
fb_016,mbr_169,2026-02-23 00:00:00,staff_service,-0.93,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_017,mbr_172,2026-02-23 00:00:00,staff_service,-0.93,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_018,mbr_175,2026-02-01 00:00:00,staff_service,-0.93,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_019,mbr_178,2026-02-01 00:00:00,staff_service,-0.36,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_020,mbr_181,2026-02-01 00:00:00,staff_service,-0.36,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_021,mbr_194,2026-02-26 00:00:00,staff_service,-0.89,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_022,mbr_197,2026-02-26 00:00:00,staff_service,-0.89,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_023,mbr_200,2026-02-04 00:00:00,staff_service,-0.32,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_024,mbr_t01,2026-02-04 00:00:00,staff_service,-0.32,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_025,mbr_261,2026-02-22 00:00:00,staff_service,-0.96,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_026,mbr_264,2026-02-22 00:00:00,staff_service,-0.96,staff service was below expectations during my recent visit. Please review.,in_progress,
fb_027,mbr_267,2026-01-31 00:00:00,staff_service,-0.38,The staff service needs significant improvement. I've been a member for years and this is disappointing.,in_progress,
fb_028,mbr_270,2026-01-30 00:00:00,staff_service,-0.38,The staff service needs significant improvement. I've been a member for years and this is disappointing.,in_progress,
fb_029,mbr_283,2026-02-24 00:00:00,staff_service,-0.92,Concerned about declining staff service. This affects my overall experience at the club.,open,
fb_030,mbr_286,2026-02-24 00:00:00,staff_service,-0.92,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_031,mbr_289,2026-02-24 00:00:00,staff_service,-0.92,Concerned about declining staff service. This affects my overall experience at the club.,in_progress,
fb_032,mbr_292,2026-02-02 00:00:00,staff_service,-0.34,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_033,mbr_295,2026-02-02 00:00:00,staff_service,-0.34,Multiple members have mentioned staff service concerns. Hope the board takes action.,in_progress,
fb_034,mbr_t01,2026-01-16 00:00:00,service_speed,-0.92,Waited 42 minutes for lunch. Felt ignored after being seated. Server never checked on us.,open,
fb_035,mbr_t05,2026-01-08 00:00:00,staff_service,-0.85,My usual table was given away with no apology. Had to wait 15 minutes for another table.,open,
fb_036,mbr_t08,2025-11-15 00:00:00,pace_of_play,-0.72,Pace of play on holes 9-10 was unacceptable today. Over 20 minutes per hole. No marshal in sight.,open,
fb_037,mbr_t08,2025-12-08 00:00:00,pace_of_play,-0.78,Same slow-play issue on back nine again. Reported this last month and nothing changed. Very frustrating.,open,
